latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
44.9103,-0.51634,317.2,1.15,1.07,2023-07-10,1051,T,48,6.1NRT,302.16,7.41,D
44.7282,-0.82615,317.11,1.13,1.06,2023-07-10,1051,T,55,6.1NRT,301,10.71,D
44.72581,-0.81241,327.77,1.13,1.06,2023-07-10,1051,T,80,6.1NRT,303.34,23.82,D
44.7166,-0.81551,313.86,1.13,1.06,2023-07-10,1051,T,26,6.1NRT,300.31,7.08,D
43.86802,-1.14434,315.67,1.13,1.06,2023-07-10,1051,T,53,6.1NRT,303.36,7.72,D
43.07293,-2.46393,308.45,1.06,1.03,2023-07-10,1051,T,35,6.1NRT,297.69,5.19,D
43.52634,-5.72834,326.6,1.03,1.02,2023-07-10,1051,T,81,6.1NRT,305.55,15.98,D
42.83791,-2.73656,322.95,1.05,1.02,2023-07-10,1051,T,42,6.1NRT,308.85,10.56,D
41.41476,-3.37182,324.89,1.04,1.02,2023-07-10,1051,T,58,6.1NRT,310.21,7.84,D
39.76758,-5.26446,339.29,1,1,2023-07-10,1053,T,82,6.1NRT,319.99,19.97,D
36.87493,6.95847,327.72,4.68,1.98,2023-07-10,1053,T,61,6.1NRT,305.29,132.21,D
36.87487,6.95149,325.5,4.68,1.98,2023-07-10,1053,T,59,6.1NRT,305.09,110.88,D
66.74366,26.70224,314.07,1.35,1.15,2023-07-10,1121,A,69,6.1NRT,296.88,14.98,D
66.74094,26.6722,306.05,1.35,1.15,2023-07-10,1121,A,55,6.1NRT,295.79,6.2,D
37.80204,29.24306,331.6,1.22,1.1,2023-07-10,1115,A,81,6.1NRT,312.44,19.73,D
38.61877,29.47854,334.21,1.16,1.07,2023-07-10,1115,A,85,6.1NRT,307.36,29.21,D
38.6165,29.46547,328.69,1.16,1.07,2023-07-10,1115,A,79,6.1NRT,307.36,20.09,D
38.62815,29.47577,322.32,1.16,1.07,2023-07-10,1115,A,71,6.1NRT,307,11.36,D
38.6259,29.46274,320.05,1.16,1.07,2023-07-10,1115,A,67,6.1NRT,307.18,8.37,D
38.22205,27.20059,383.69,1.53,1.22,2023-07-10,1115,A,100,6.1NRT,310.15,290.2,D
38.2187,27.18327,374.81,1.53,1.22,2023-07-10,1115,A,100,6.1NRT,311.85,224.52,D
